v2	Id(M1)
0.000000000000000e+000	2.906639e-009
1.000000000000000e-002	4.327697e-009
2.000000000000000e-002	6.153920e-009
3.000000000000000e-002	8.505522e-009
4.000000000000000e-002	1.153592e-008
5.000000000000000e-002	1.544018e-008
6.000000000000001e-002	2.046527e-008
7.000000000000001e-002	2.692261e-008
8.000000000000000e-002	3.520319e-008
9.000000000000000e-002	4.579585e-008
9.999999999999999e-002	5.930919e-008
1.100000000000000e-001	7.649795e-008
1.200000000000000e-001	9.829458e-008
1.300000000000000e-001	1.258469e-007
1.400000000000000e-001	1.605629e-007
1.500000000000000e-001	2.041633e-007
1.600000000000000e-001	2.587428e-007
1.700000000000000e-001	3.268384e-007
1.800000000000000e-001	4.115045e-007
1.900000000000000e-001	5.163899e-007
2.000000000000000e-001	6.458106e-007
2.100000000000001e-001	8.048105e-007
2.200000000000001e-001	9.991971e-007
2.300000000000001e-001	1.235542e-006
2.400000000000001e-001	1.521133e-006
2.500000000000001e-001	1.863865e-006
2.600000000000001e-001	2.272080e-006
2.700000000000001e-001	2.754332e-006
2.800000000000001e-001	3.319122e-006
2.900000000000001e-001	3.974596e-006
3.000000000000001e-001	4.728236e-006
3.100000000000001e-001	5.586584e-006
3.200000000000001e-001	6.555005e-006
3.300000000000001e-001	7.637391e-006
3.400000000000001e-001	8.835335e-006
3.500000000000001e-001	1.014946e-005
3.600000000000002e-001	1.157915e-005
3.700000000000002e-001	1.312253e-005
3.800000000000002e-001	1.477661e-005
3.900000000000002e-001	1.653752e-005
4.000000000000002e-001	1.840071e-005
4.100000000000002e-001	2.036109e-005
4.200000000000002e-001	2.241329e-005
4.300000000000002e-001	2.455175e-005
4.400000000000002e-001	2.677088e-005
4.500000000000002e-001	2.906520e-005
4.600000000000002e-001	3.142935e-005
4.700000000000003e-001	3.385823e-005
4.800000000000003e-001	3.634698e-005
4.900000000000003e-001	3.889104e-005
5.000000000000002e-001	4.148614e-005
5.100000000000002e-001	4.412832e-005
5.200000000000002e-001	4.681391e-005
5.300000000000003e-001	4.953954e-005
5.400000000000003e-001	5.230210e-005
5.500000000000003e-001	5.509874e-005
5.600000000000003e-001	5.792682e-005
5.700000000000003e-001	6.078395e-005
5.800000000000003e-001	6.366793e-005
5.900000000000003e-001	6.657672e-005
6.000000000000003e-001	6.950848e-005
6.100000000000003e-001	7.246149e-005
6.200000000000003e-001	7.543417e-005
6.300000000000003e-001	7.842507e-005
6.400000000000004e-001	8.143286e-005
6.500000000000004e-001	8.445627e-005
6.600000000000004e-001	8.749417e-005
6.700000000000004e-001	9.054547e-005
6.800000000000004e-001	9.360916e-005
6.900000000000004e-001	9.668433e-005
7.000000000000004e-001	9.977009e-005
7.100000000000004e-001	1.028656e-004
7.200000000000004e-001	1.059702e-004
7.300000000000004e-001	1.090830e-004
7.400000000000004e-001	1.122034e-004
7.500000000000004e-001	1.153308e-004
7.600000000000005e-001	1.184646e-004
7.700000000000005e-001	1.216041e-004
7.800000000000005e-001	1.247489e-004
7.900000000000005e-001	1.278983e-004
8.000000000000005e-001	1.310521e-004
8.100000000000005e-001	1.342095e-004
8.200000000000005e-001	1.373703e-004
8.300000000000005e-001	1.405340e-004
8.400000000000005e-001	1.437003e-004
8.500000000000005e-001	1.468686e-004
8.600000000000005e-001	1.500387e-004
8.700000000000006e-001	1.532102e-004
8.800000000000006e-001	1.563827e-004
8.900000000000006e-001	1.595560e-004
9.000000000000006e-001	1.627298e-004
9.100000000000006e-001	1.659038e-004
9.200000000000006e-001	1.690776e-004
9.300000000000006e-001	1.722511e-004
9.400000000000006e-001	1.754239e-004
9.500000000000006e-001	1.785959e-004
9.600000000000006e-001	1.817667e-004
9.700000000000006e-001	1.849362e-004
9.800000000000007e-001	1.881042e-004
9.900000000000007e-001	1.912704e-004
1.000000000000001e+000	1.944347e-004
