v1	Id(M1)
Step Information: X=0  (Run: 1/21)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-002	1.186102e-009
2.000000000000000e-002	2.044683e-009
3.000000000000000e-002	2.632462e-009
4.000000000000000e-002	3.017784e-009
5.000000000000000e-002	3.267810e-009
6.000000000000001e-002	3.435303e-009
7.000000000000001e-002	3.554705e-009
8.000000000000000e-002	3.646148e-009
9.000000000000000e-002	3.720936e-009
9.999999999999999e-002	3.785448e-009
1.100000000000000e-001	3.843385e-009
1.200000000000000e-001	3.896981e-009
1.300000000000000e-001	3.947631e-009
1.400000000000000e-001	3.996242e-009
1.500000000000000e-001	4.043426e-009
1.600000000000000e-001	4.089602e-009
1.700000000000000e-001	4.135074e-009
1.800000000000000e-001	4.180059e-009
1.900000000000000e-001	4.224722e-009
2.000000000000000e-001	4.269186e-009
2.100000000000001e-001	4.313550e-009
2.200000000000001e-001	4.357887e-009
2.300000000000001e-001	4.402260e-009
2.400000000000001e-001	4.446717e-009
2.500000000000001e-001	4.491299e-009
2.600000000000001e-001	4.536040e-009
2.700000000000001e-001	4.580966e-009
2.800000000000001e-001	4.626104e-009
2.900000000000001e-001	4.671472e-009
3.000000000000001e-001	4.717088e-009
3.100000000000001e-001	4.762968e-009
3.200000000000001e-001	4.809125e-009
3.300000000000001e-001	4.855571e-009
3.400000000000001e-001	4.902315e-009
3.500000000000001e-001	4.949368e-009
3.600000000000002e-001	4.996739e-009
3.700000000000002e-001	5.044432e-009
3.800000000000002e-001	5.092457e-009
3.900000000000002e-001	5.140819e-009
4.000000000000002e-001	5.189523e-009
4.100000000000002e-001	5.238573e-009
4.200000000000002e-001	5.287975e-009
4.300000000000002e-001	5.337732e-009
4.400000000000002e-001	5.387849e-009
4.500000000000002e-001	5.438327e-009
4.600000000000002e-001	5.489170e-009
4.700000000000003e-001	5.540380e-009
4.800000000000003e-001	5.591959e-009
4.900000000000003e-001	5.643908e-009
5.000000000000002e-001	5.696231e-009
5.100000000000002e-001	5.748925e-009
5.200000000000002e-001	5.801994e-009
5.300000000000003e-001	5.855437e-009
5.400000000000003e-001	5.909254e-009
5.500000000000003e-001	5.963446e-009
5.600000000000003e-001	6.018010e-009
5.700000000000003e-001	6.072946e-009
5.800000000000003e-001	6.128253e-009
5.900000000000003e-001	6.183929e-009
6.000000000000003e-001	6.239971e-009
6.100000000000003e-001	6.296378e-009
6.200000000000003e-001	6.353145e-009
6.300000000000003e-001	6.410269e-009
6.400000000000004e-001	6.467747e-009
6.500000000000004e-001	6.525573e-009
6.600000000000004e-001	6.583743e-009
6.700000000000004e-001	6.642251e-009
6.800000000000004e-001	6.701091e-009
6.900000000000004e-001	6.760256e-009
7.000000000000004e-001	6.819739e-009
7.100000000000004e-001	6.879530e-009
7.200000000000004e-001	6.939623e-009
7.300000000000004e-001	7.000007e-009
7.400000000000004e-001	7.060672e-009
7.500000000000004e-001	7.121606e-009
7.600000000000005e-001	7.182798e-009
7.700000000000005e-001	7.244235e-009
7.800000000000005e-001	7.305903e-009
7.900000000000005e-001	7.367787e-009
8.000000000000005e-001	7.429870e-009
8.100000000000005e-001	7.492138e-009
8.200000000000005e-001	7.554569e-009
8.300000000000005e-001	7.617147e-009
8.400000000000005e-001	7.679849e-009
8.500000000000005e-001	7.742654e-009
8.600000000000005e-001	7.805538e-009
8.700000000000006e-001	7.868475e-009
8.800000000000006e-001	7.931440e-009
8.900000000000006e-001	7.994405e-009
9.000000000000006e-001	8.057340e-009
9.100000000000006e-001	8.120211e-009
9.200000000000006e-001	8.182986e-009
9.300000000000006e-001	8.245628e-009
9.400000000000006e-001	8.308101e-009
9.500000000000006e-001	8.370364e-009
9.600000000000006e-001	8.432373e-009
9.700000000000006e-001	8.494085e-009
9.800000000000007e-001	8.555450e-009
9.900000000000007e-001	8.616420e-009
1.000000000000001e+000	8.676940e-009
1.010000000000001e+000	8.736954e-009
1.020000000000001e+000	8.796404e-009
1.030000000000001e+000	8.855225e-009
1.040000000000001e+000	8.913352e-009
1.050000000000001e+000	8.970714e-009
1.060000000000001e+000	9.027239e-009
1.070000000000001e+000	9.082846e-009
1.080000000000001e+000	9.137455e-009
1.090000000000001e+000	9.190979e-009
1.100000000000000e+000	9.243325e-009
Step Information: X=50m  (Run: 2/21)
0.000000000000000e+000	2.534122e-014
1.000000000000000e-002	4.551189e-009
2.000000000000000e-002	7.848425e-009
3.000000000000000e-002	1.010788e-008
4.000000000000000e-002	1.159002e-008
5.000000000000000e-002	1.255147e-008
6.000000000000001e-002	1.319457e-008
7.000000000000001e-002	1.365185e-008
8.000000000000000e-002	1.400099e-008
9.000000000000000e-002	1.428566e-008
9.999999999999999e-002	1.453051e-008
1.100000000000000e-001	1.474988e-008
1.200000000000000e-001	1.495239e-008
1.300000000000000e-001	1.514345e-008
1.400000000000000e-001	1.532655e-008
1.500000000000000e-001	1.550407e-008
1.600000000000000e-001	1.567763e-008
1.700000000000000e-001	1.584839e-008
1.800000000000000e-001	1.601721e-008
1.900000000000000e-001	1.618472e-008
2.000000000000000e-001	1.635139e-008
2.100000000000001e-001	1.651760e-008
2.200000000000001e-001	1.668365e-008
2.300000000000001e-001	1.684977e-008
2.400000000000001e-001	1.701616e-008
2.500000000000001e-001	1.718296e-008
2.600000000000001e-001	1.735032e-008
2.700000000000001e-001	1.751834e-008
2.800000000000001e-001	1.768711e-008
2.900000000000001e-001	1.785672e-008
3.000000000000001e-001	1.802724e-008
3.100000000000001e-001	1.819873e-008
3.200000000000001e-001	1.837124e-008
