v2	Id(M1)
0.000000000000000e+000	9.243325e-009
1.000000000000000e-002	1.232237e-008
2.000000000000000e-002	1.630176e-008
3.000000000000000e-002	2.143593e-008
4.000000000000000e-002	2.804566e-008
5.000000000000000e-002	3.653344e-008
6.000000000000001e-002	4.740181e-008
7.000000000000001e-002	6.127516e-008
8.000000000000000e-002	7.892542e-008
9.000000000000000e-002	1.013022e-007
9.999999999999999e-002	1.295682e-007
1.100000000000000e-001	1.651394e-007
1.200000000000000e-001	2.097321e-007
1.300000000000000e-001	2.654143e-007
1.400000000000000e-001	3.346615e-007
1.500000000000000e-001	4.204146e-007
1.600000000000000e-001	5.261343e-007
1.700000000000000e-001	6.558455e-007
1.800000000000000e-001	8.141635e-007
1.900000000000000e-001	1.006291e-006
2.000000000000000e-001	1.237971e-006
2.100000000000001e-001	1.515400e-006
2.200000000000001e-001	1.845073e-006
2.300000000000001e-001	2.233586e-006
2.400000000000001e-001	2.687394e-006
2.500000000000001e-001	3.212538e-006
2.600000000000001e-001	3.814377e-006
2.700000000000001e-001	4.497339e-006
2.800000000000001e-001	5.264721e-006
2.900000000000001e-001	6.118562e-006
3.000000000000001e-001	7.059581e-006
3.100000000000001e-001	8.087207e-006
3.200000000000001e-001	9.199668e-006
3.300000000000001e-001	1.039400e-005
3.400000000000001e-001	1.166551e-005
3.500000000000001e-001	1.300945e-005
3.600000000000002e-001	1.442081e-005
3.700000000000002e-001	1.589434e-005
3.800000000000002e-001	1.742471e-005
3.900000000000002e-001	1.900666e-005
4.000000000000002e-001	2.063508e-005
4.100000000000002e-001	2.230514e-005
4.200000000000002e-001	2.401231e-005
4.300000000000002e-001	2.575237e-005
4.400000000000002e-001	2.752150e-005
4.500000000000002e-001	2.931618e-005
4.600000000000002e-001	3.113329e-005
4.700000000000003e-001	3.297000e-005
4.800000000000003e-001	3.482380e-005
4.900000000000003e-001	3.669246e-005
5.000000000000002e-001	3.857400e-005
5.100000000000002e-001	4.046668e-005
5.200000000000002e-001	4.236897e-005
5.300000000000003e-001	4.427952e-005
5.400000000000003e-001	4.619715e-005
5.500000000000003e-001	4.812082e-005
5.600000000000003e-001	5.004960e-005
5.700000000000003e-001	5.198269e-005
5.800000000000003e-001	5.391940e-005
5.900000000000003e-001	5.585909e-005
6.000000000000003e-001	5.780122e-005
6.100000000000003e-001	5.974530e-005
6.200000000000003e-001	6.169090e-005
6.300000000000003e-001	6.363764e-005
6.400000000000004e-001	6.558518e-005
6.500000000000004e-001	6.753320e-005
6.600000000000004e-001	6.948145e-005
6.700000000000004e-001	7.142968e-005
6.800000000000004e-001	7.337768e-005
6.900000000000004e-001	7.532522e-005
7.000000000000004e-001	7.727215e-005
7.100000000000004e-001	7.921829e-005
7.200000000000004e-001	8.116350e-005
7.300000000000004e-001	8.310765e-005
7.400000000000004e-001	8.505059e-005
7.500000000000004e-001	8.699223e-005
7.600000000000005e-001	8.893245e-005
7.700000000000005e-001	9.087115e-005
7.800000000000005e-001	9.280826e-005
7.900000000000005e-001	9.474366e-005
8.000000000000005e-001	9.667731e-005
8.100000000000005e-001	9.860911e-005
8.200000000000005e-001	1.005390e-004
8.300000000000005e-001	1.024669e-004
8.400000000000005e-001	1.043928e-004
8.500000000000005e-001	1.063166e-004
8.600000000000005e-001	1.082382e-004
8.700000000000006e-001	1.101577e-004
8.800000000000006e-001	1.120749e-004
8.900000000000006e-001	1.139899e-004
9.000000000000006e-001	1.159025e-004
9.100000000000006e-001	1.178127e-004
9.200000000000006e-001	1.197206e-004
9.300000000000006e-001	1.216260e-004
9.400000000000006e-001	1.235290e-004
9.500000000000006e-001	1.254294e-004
9.600000000000006e-001	1.273274e-004
9.700000000000006e-001	1.292227e-004
9.800000000000007e-001	1.311155e-004
9.900000000000007e-001	1.330057e-004
1.000000000000000e+000	1.348933e-004
